sequence_name,sequence_path,pulse_index,tag,mapped_label,is_unknown,is_noise
exp4_mixed_train_051,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_051.csv,57,4,3,0,0
exp4_mixed_train_001,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_001.csv,381,0,0,0,1
exp4_mixed_train_024,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_024.csv,7,3,2,0,0
exp4_mixed_train_145,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_145.csv,196,0,0,0,1
exp4_mixed_train_158,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_158.csv,294,0,0,0,1
exp4_mixed_train_130,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_130.csv,93,3,2,0,0
exp4_mixed_train_058,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_058.csv,140,4,3,0,0
exp4_mixed_train_116,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_116.csv,295,3,2,0,0
exp4_mixed_train_108,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_108.csv,190,4,3,0,0
exp4_mixed_train_096,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_096.csv,70,0,0,0,1
exp4_mixed_train_015,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_015.csv,248,0,0,0,1
exp4_mixed_train_033,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_033.csv,92,4,3,0,0
exp4_mixed_train_046,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_046.csv,395,0,0,0,1
exp4_mixed_train_142,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_142.csv,309,3,2,0,0
exp4_mixed_train_154,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_154.csv,67,4,3,0,0
exp4_mixed_train_094,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_094.csv,20,3,2,0,0
exp4_mixed_train_021,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_021.csv,356,3,2,0,0
exp4_mixed_train_079,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_079.csv,81,4,3,0,0
exp4_mixed_train_069,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_069.csv,208,4,3,0,0
exp4_mixed_train_119,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_119.csv,131,0,0,0,1
exp4_mixed_train_000,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_000.csv,339,1,1,0,0
exp4_mixed_train_053,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_053.csv,319,1,1,0,0
exp4_mixed_train_017,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_017.csv,7,3,2,0,0
exp4_mixed_train_018,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_018.csv,72,4,3,0,0
exp4_mixed_train_143,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_143.csv,122,1,1,0,0
exp4_mixed_train_093,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_093.csv,33,4,3,0,0
exp4_mixed_train_150,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_150.csv,37,4,3,0,0
exp4_mixed_train_063,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_063.csv,297,3,2,0,0
exp4_mixed_train_011,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_011.csv,318,3,2,0,0
exp4_mixed_train_086,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_086.csv,196,4,3,0,0
exp4_mixed_train_108,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_108.csv,4,1,1,0,0
exp4_mixed_train_036,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_036.csv,24,1,1,0,0
exp4_mixed_train_091,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_091.csv,340,0,0,0,1
exp4_mixed_train_062,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_062.csv,134,1,1,0,0
exp4_mixed_train_153,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_153.csv,322,0,0,0,1
exp4_mixed_train_007,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_007.csv,369,0,0,0,1
exp4_mixed_train_132,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_132.csv,92,3,2,0,0
exp4_mixed_train_151,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_151.csv,154,4,3,0,0
exp4_mixed_train_038,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_038.csv,308,3,2,0,0
exp4_mixed_train_093,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_093.csv,54,4,3,0,0
exp4_mixed_train_129,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_129.csv,261,0,0,0,1
exp4_mixed_train_100,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_100.csv,208,1,1,0,0
exp4_mixed_train_052,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_052.csv,112,1,1,0,0
exp4_mixed_train_156,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_156.csv,136,0,0,0,1
exp4_mixed_train_036,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_036.csv,64,0,0,0,1
exp4_mixed_train_067,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_067.csv,236,3,2,0,0
exp4_mixed_train_022,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_022.csv,126,4,3,0,0
exp4_mixed_train_120,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_120.csv,115,3,2,0,0
exp4_mixed_train_010,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_010.csv,329,0,0,0,1
exp4_mixed_train_108,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_108.csv,243,3,2,0,0
exp4_mixed_train_009,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_009.csv,200,4,3,0,0
exp4_mixed_train_150,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_150.csv,375,0,0,0,1
exp4_mixed_train_151,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_151.csv,4,3,2,0,0
exp4_mixed_train_133,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_133.csv,223,0,0,0,1
exp4_mixed_train_007,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_007.csv,196,1,1,0,0
exp4_mixed_train_020,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_020.csv,229,4,3,0,0
exp4_mixed_train_139,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_139.csv,384,1,1,0,0
exp4_mixed_train_094,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_094.csv,0,4,3,0,0
exp4_mixed_train_064,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_064.csv,397,1,1,0,0
exp4_mixed_train_144,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_144.csv,324,3,2,0,0
exp4_mixed_train_116,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_116.csv,149,1,1,0,0
exp4_mixed_train_052,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_052.csv,282,3,2,0,0
exp4_mixed_train_013,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_013.csv,41,1,1,0,0
exp4_mixed_train_151,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_151.csv,87,1,1,0,0
exp4_mixed_train_008,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_008.csv,268,3,2,0,0
exp4_mixed_train_042,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_042.csv,138,4,3,0,0
exp4_mixed_train_078,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_078.csv,147,4,3,0,0
exp4_mixed_train_113,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_113.csv,212,1,1,0,0
exp4_mixed_train_055,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_055.csv,80,4,3,0,0
exp4_mixed_train_019,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_019.csv,249,0,0,0,1
exp4_mixed_train_037,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_037.csv,159,3,2,0,0
exp4_mixed_train_033,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_033.csv,272,1,1,0,0
exp4_mixed_train_026,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_026.csv,368,1,1,0,0
exp4_mixed_train_100,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_100.csv,379,1,1,0,0
exp4_mixed_train_158,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_158.csv,14,1,1,0,0
exp4_mixed_train_126,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_126.csv,166,4,3,0,0
exp4_mixed_train_109,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_109.csv,251,4,3,0,0
exp4_mixed_train_017,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_017.csv,84,4,3,0,0
exp4_mixed_train_110,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_110.csv,212,3,2,0,0
exp4_mixed_train_124,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_124.csv,367,0,0,0,1
exp4_mixed_train_136,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_136.csv,161,0,0,0,1
exp4_mixed_train_058,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_058.csv,364,0,0,0,1
exp4_mixed_train_111,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_111.csv,219,1,1,0,0
exp4_mixed_train_146,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_146.csv,242,4,3,0,0
exp4_mixed_train_049,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_049.csv,234,4,3,0,0
exp4_mixed_train_046,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_046.csv,46,4,3,0,0
exp4_mixed_train_073,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_073.csv,101,4,3,0,0
exp4_mixed_train_008,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_008.csv,148,4,3,0,0
exp4_mixed_train_100,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_100.csv,91,3,2,0,0
exp4_mixed_train_077,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_077.csv,30,1,1,0,0
exp4_mixed_train_040,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_040.csv,77,0,0,0,1
exp4_mixed_train_066,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_066.csv,82,0,0,0,1
exp4_mixed_train_076,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_076.csv,138,4,3,0,0
exp4_mixed_train_035,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_035.csv,379,0,0,0,1
exp4_mixed_train_021,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_021.csv,364,1,1,0,0
exp4_mixed_train_005,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_005.csv,222,0,0,0,1
exp4_mixed_train_132,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_132.csv,108,3,2,0,0
exp4_mixed_train_096,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_096.csv,117,0,0,0,1
exp4_mixed_train_076,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_076.csv,95,4,3,0,0
exp4_mixed_train_016,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_016.csv,156,3,2,0,0
exp4_mixed_train_081,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_081.csv,198,3,2,0,0
exp4_mixed_train_016,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_016.csv,81,0,0,0,1
exp4_mixed_train_059,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_059.csv,123,4,3,0,0
exp4_mixed_train_130,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_130.csv,111,3,2,0,0
exp4_mixed_train_020,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_020.csv,92,3,2,0,0
exp4_mixed_train_152,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_152.csv,381,1,1,0,0
exp4_mixed_train_040,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_040.csv,1,0,0,0,1
exp4_mixed_train_117,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_117.csv,264,3,2,0,0
exp4_mixed_train_018,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_018.csv,79,3,2,0,0
exp4_mixed_train_129,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_129.csv,187,0,0,0,1
exp4_mixed_train_107,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_107.csv,158,4,3,0,0
exp4_mixed_train_009,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_009.csv,97,4,3,0,0
exp4_mixed_train_032,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_032.csv,395,0,0,0,1
exp4_mixed_train_140,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_140.csv,243,1,1,0,0
exp4_mixed_train_083,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_083.csv,262,1,1,0,0
exp4_mixed_train_127,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_127.csv,215,0,0,0,1
exp4_mixed_train_125,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_125.csv,217,4,3,0,0
exp4_mixed_train_021,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_021.csv,269,3,2,0,0
exp4_mixed_train_076,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_076.csv,392,0,0,0,1
exp4_mixed_train_045,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_045.csv,47,4,3,0,0
exp4_mixed_train_056,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_056.csv,18,3,2,0,0
exp4_mixed_train_103,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_103.csv,19,0,0,0,1
exp4_mixed_train_123,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_123.csv,22,4,3,0,0
exp4_mixed_train_005,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_005.csv,159,4,3,0,0
exp4_mixed_train_082,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_082.csv,395,0,0,0,1
